Accession	Gene name	adj_pvalue	Col_0_A	Col_0_B	Col_0_C	NRPD1_WT_A	NRPD1_WT_B	NRPD1_WT_C	NRPD1_MUT_A	NRPD1_MUT_B	NRPD1_MUT_C
AT3G42670.1	CLSY1	3.40E-01	0	0	0	35	38	37	57	58	48
AT5G20420.1	CLSY2		0	0	0	0	0	0	0	0	0
AT1G05490.1	CLSY3		0	0	0	0	0	0	0	0	0
AT3G24340.1	CLSY4		0	0	0	0	0	0	0	0	0
AT1G63020.1	NRPD1	2.66E-25	0	0	0	21	28	32	0	0	0
AT3G23780.1	NRPD2	2.46E-30	0	0	0	31	32	41	0	0	1
AT2G15430.1	NRPD3a	1.37E-09	0	0	0	6	16	10	0	0	0
AT2G15400.1	NRPD3b	5.09E-04	0	0	0	1	7	6	0	0	0
AT4G15950.1	NRPD4	1.80E-01	0	0	0	2	4	2	1	0	0
AT3G22320.1	NRPD5a	2.51E-04	0	0	0	5	3	7	0	0	0
AT2G41340.1	NRPD5b	1.00E+00	0	0	0	0	0	0	0	0	0
AT2G04630.1	NRPD6b	1.00E+00	0	0	0	0	0	0	0	0	0
AT3G22900.1	NRPD7a	1.95E-01	0	0	0	0	1	4	0	0	0
AT4G14660.1	NRPD7b	1	0	0	0	0	0	0	0	0	0
AT3G59600.1	NRPD8b	1	0	0	0	0	0	0	0	0	0
AT3G16980.1	NRPD9a	5.70E-01	0	0	0	0	1	0	0	0	0
AT4G16265.1	NRPD9b	2.82E-01	0	0	0	1	2	1	0	0	0
AT1G11475.1	NRPD10	5.70E-01	0	0	0	0	0	1	0	0	0
AT3G52090.2	NRPD11	1.22E-01	0	0	0	2	2	2	0	0	0
AT5G41010.1	NRPD12	1	0	0	0	0	0	0	0	0	0
AT4G11130.1	RDR2	1.27E-16	0	0	0	14	18	22	0	0	0
AT1G15215.2	SHH1	5.70E-01	0	0	0	6	6	7	11	9	9
