Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_3_14818638	0.03	0.03	4.47	4.9	0	0	0.04	0.03	0.08	0.04	8.06	7.16	7.49	6.87	0.38	0.21	0.06	0.17	0.01	0.02
merged_2_2628938	0.16	0	7.94	8.55	0.09	0.15	0.35	0.53	0.39	0.55	10.12	9.81	7.89	7.34	0.17	0.26	0.57	0.57	0	0
merged_2_2954446	0	0	1.83	1.53	0	0	0	0	0.21	0	2.79	2.66	2.18	2.01	0	0	0	0	0	0
merged_4_2639560	0.05	0	23.96	20.76	0.24	0.05	0.09	0.04	0.04	0.24	26.44	24.86	24.03	26.88	0.11	0.08	0.43	0.88	0.27	0.06
merged_2_8454479	0	0	9.66	8.01	0	0	0	0.19	0	0.63	12.9	10.89	3.96	4.68	0	0.19	0.28	0.17	0.15	0.14
merged_4_1914313	0	0	4.3	4.3	0	0	0.13	0	0.06	0.21	6.33	5.87	7.64	7.75	0	0	0.41	0.33	0	0
merged_1_22521077	0	0	7.73	7.53	0	0.07	0.06	0.18	0.3	0.23	12.94	12.1	3.63	4.63	0	0	0.18	0.21	0.19	0.09
merged_5_10702105	0.06	0	10.99	11.7	0	0	0.15	0	0.1	0.09	20.06	17.51	6.76	8.44	0.13	0.19	0.28	0.08	0	0
merged_2_7773081	0	0.58	19.53	16.64	0	0	0	0	0	0.28	9.2	9.5	11.15	8.07	0.39	0.59	0.43	0.52	0	0
merged_4_4281937	0	0	2.07	1.82	0	0	0.04	0.01	0.08	0.08	4.72	4.19	4.53	4.09	0.12	0	0.18	0.31	0	0.02
merged_3_21655872	0	0.18	37.18	35.85	0	0	0	0.38	0.37	0.18	18.84	18.62	21.17	22.41	0.49	0.37	1.36	1.3	0.3	0
merged_1_20508807	0.16	0.04	14.13	11.8	0	0	0.09	0.04	0.17	0.29	16.28	17.11	6.65	6.49	0	0.09	0.13	0.38	0.14	0
merged_1_7528060	0.14	0	5.07	4.59	0.33	0	0.12	0.23	0.11	0.11	1.47	1.22	1.56	1.51	0.3	0	0	0	0.18	0.16
merged_3_14189561	0.03	0.02	2.29	1.8	0	0.03	0.05	0.02	0.05	0.09	2.5	1.99	1.8	1.76	0	0.05	0.04	0.04	0	0
merged_1_16724035	0.18	0	2.81	3.13	0.1	0	0.15	0.07	0.14	0.34	5.29	3.3	2.25	1.39	0.09	0	0.42	0.63	0	0
merged_2_5870896	0.35	0.43	13.11	13.62	0.84	0	1.08	0.59	1	0.27	24.15	22.99	7.69	7.03	0	0	1.06	1.27	0	0
merged_2_1766064	0	0.03	6.44	5.49	0	0.03	0.12	0.03	0.11	0.27	7.82	6.44	8.25	7.19	0.11	0.12	0.3	0.36	0.09	0
merged_1_20492421	0	0	16.43	18.17	0.4	0	0.39	0.18	0.27	0.35	26.55	27.31	29.46	29.19	0.36	0.18	0.53	0.16	0.15	0
merged_1_20734076	0	0	25.44	22.77	0.2	0	0.14	0	0.27	0.25	34.24	30.93	38.7	45.3	0.18	0.27	1.18	1.18	0.22	0.19
merged_1_7023439	0.05	0.12	29.7	27.03	0	0	0.26	0.16	0.24	0.42	30.86	31.69	16.8	17.45	0.05	0.08	0.65	0.07	0	0.06
merged_2_14155062	0	0.31	20.3	17.6	0	0.12	0	0.22	0.21	0.71	16.18	15.28	6.77	6.4	0	0	0	0.37	0	0
merged_5_13509155	0.06	0.09	10.66	10.91	0	0	0	0	0.05	0.18	18.77	18.76	4.86	6.27	0	0	0.34	0	0	0
merged_3_22002204	0	0.25	28.83	29.01	0	0	0.28	0	0	0.49	21.57	24.59	29.34	29	0.34	0	0.76	0.46	0	0
merged_1_23876963	0	0	7.25	8.83	0	0.23	0	0	0.1	0	14.35	12.39	2.02	2.75	0	0	0	0	0	0
merged_4_16572226	0	0	7.93	6.54	0	0.19	0	0.08	0.16	0.38	7.63	6.98	6.1	6.91	0	0.32	0.23	0.28	0.13	0
merged_2_12075840	0.11	0.09	41.42	35.9	0	0.2	0.09	0.27	0.69	0.5	58.16	54.66	60.02	53.97	0.11	0.17	1.03	1.54	0.14	0.25
merged_2_3944405	0	0	2.46	2.29	0	0	0	0	0.13	0	4.6	3.88	2.07	2.31	0	0	0.07	0.08	0	0
merged_1_23453053	1.06	0.99	615.7	566.87	0.21	0.07	0.49	0.33	4.94	3.42	200.2	185.22	366.15	364.41	21.17	18.73	24.91	23.75	0.17	0.59
merged_2_6091497	0.11	0	8.81	9.19	0	0	0.4	0.09	0.18	0.35	15.67	16.95	16.74	14.53	0.24	0	0.54	0.33	0	0
merged_5_21534180	0	0	5.59	6.83	0	0	0	0.38	0.19	0	8.16	8.08	4.54	4.98	0	0	0	0	0	0
merged_1_13591667	0.12	0.05	6.12	5.34	0.03	0.06	0.03	0.14	0.23	0.2	9.41	7.27	4.51	4.49	0	0.05	0.38	0.41	0.04	0.14
merged_5_14614295	0	0	11.39	16.49	0	0	0	0	0.18	0.52	22.98	21.78	8.7	8.25	0	0.36	0.81	0	0	0
merged_5_7069936	0	0.07	26.51	23.67	0	0	0	0.21	0	0.13	24.53	24.38	3.7	4	0	0	0.1	0	0	0
merged_4_9439355	0	0	14.33	10.88	0.17	0.14	0.12	0.35	0.23	0.33	18.33	19.75	4.78	6.38	0	0	0	0.21	0	0
merged_5_21189162	0.17	0	1.01	1.19	0	0	0	0	0	0	0.18	0.1	1.09	0.72	0	0	0	0	0	0
merged_2_2291807	0	0.09	32.87	32.42	0.14	0.11	0.1	0	0	0.18	34.77	34.27	7.89	4.99	0	0	0.14	0.17	0	0
merged_4_14122017	0	0.18	57.97	62.55	0.13	0	0.2	0.38	0.28	0.53	107.28	79.37	180.63	184.95	0.49	0	1.9	2.12	0.15	0.13
merged_5_14780165	0	0.05	6.08	5.41	0	0.18	0	0.32	0.31	0.39	5.68	5.54	8.58	9.96	0.14	0	0.15	0.46	0.08	0
merged_1_13081513	0	0	5.07	5.17	0	0.21	0.29	0.19	0	0.09	7.14	6.81	3.1	3.88	0.24	0	0.54	0.32	0	0
merged_2_2722926	0	0.04	2.33	2.34	0	0	0.04	0.04	0.07	0.14	5.84	4.64	3.66	4.27	0.05	0.07	0.22	0.13	0	0.05
merged_3_9123560	0.62	0.5	20.64	13	0.25	0	0.18	0	0	0.32	10.01	9.11	113.74	99.33	0.22	0	1	0	0.27	0.73
merged_1_16691154	0.03	0.02	3.25	3.41	0.01	0.03	0.07	0.08	0.1	0.08	6.82	6.19	4.02	4.09	0.04	0.04	0.2	0.11	0	0.01
merged_1_24533976	0	0	19.31	24.05	0	0	0	0	0.31	0.89	31.72	23.12	9.1	9.43	0	0	0	0	0	0
merged_1_19319137	0.13	0.15	49.4	47.56	0.07	0.18	0.11	0.1	0.05	0.44	44.27	39.18	8.26	9.25	0	0	0.3	0	0	0.15
merged_5_8748747	0	0	13.89	13.14	0.09	0	0	0.06	0.06	0.22	15.57	15.13	14.17	15.76	0	0	0.17	0.21	0	0
merged_4_1628404	0	0	10.25	10.19	0	0	0	0	0.18	0	12.04	14.4	7.29	6.86	0	0.18	0	0.16	0	0
merged_1_15184550	0	0.01	3.61	3.55	0	0	0.03	0.04	0.06	0.07	6.5	5.46	6.02	6.18	0.19	0.14	0.25	0.24	0.03	0.01
merged_4_9078509	0	0.09	19.17	17.31	0	0.11	0.05	0.09	0.41	0.35	20.85	21.23	5.55	6.62	0.06	0	0.27	0.16	0	0
merged_4_2230958	0	0.22	6.09	6.85	0.07	0	0.15	0.05	0.14	0.26	10.55	8.72	7.76	8.35	0.06	0	0.67	0.16	0	0.13
merged_Mt_183981	0.14	0.08	0.91	0.97	0.13	0.25	0.18	0.19	0.27	0.2	5.28	4.65	1.7	1.45	0.22	0.18	0.25	0.23	0.21	0.13
merged_5_17432454	0.07	0	28.73	26.67	0.25	0.07	0.06	0.28	0.28	0.32	36.56	31.79	30.81	28.25	0.22	0	0.25	0.69	0.09	0.08
merged_3_5743869	0.33	0	5.97	7.56	0	0	0.14	0	0.13	0.13	12.17	11.61	6.47	5.91	0	0	0.2	0.24	0	0
merged_2_2074042	0.02	0.07	9.84	9.93	0.04	0.04	0.13	0.09	0.2	0.32	12.99	11.48	14.57	14.34	0.03	0.04	0.45	0.44	0.06	0.04
merged_1_822237	0.65	1.31	67.16	60.67	0	0	0	0	0	0.25	90.03	77.05	46.44	55.67	0	0	1.18	0.47	1.72	0.38
merged_2_15884384	0.17	0.27	5.9	4.75	0	0	0	0.14	0.27	0.26	10.24	7.12	9.37	8.93	0	0	0.61	0	0	0
merged_2_603296	0.19	0	34.11	32.28	0.22	0	0	0.15	0.3	0.14	49.44	41.04	83.56	86.47	0	0	0.67	0.8	0	0.44
merged_3_13422456	0.02	0.03	2.92	3.14	0	0	0.01	0.04	0.03	0.08	8.78	7.58	4.01	3.92	0.12	0.06	0.13	0.1	0.02	0.01
merged_4_6014504	0	0.17	38.05	38.23	0	0	0	0.09	0.17	0.24	25.49	21.04	16.23	19.46	0	0.17	0.25	0	0.14	0.37
merged_2_4348635	0	0	2.57	3.48	0	0	0	0	0	0	6.71	6.01	10.75	9.76	0	0	0.34	0.2	0	0
merged_4_4677212	0.23	0.37	8.7	7.12	0	0.11	0.3	0.1	0.66	0.18	8.66	9.22	1.98	1.42	0	0	0.42	0.33	0	0
merged_1_3073390	0	0.13	22.31	19.76	0	0	0.07	0	0.57	0.49	23.16	22.76	20.1	18.71	0.08	0	0.38	0.68	0.1	0.09
