accession,Log2FC,pvalue,adj_pvalue
AT1G01050.1,-1.18,2.60E-01,6.25E-01
AT1G01080.2,0.00,1.00E+00,1.00E+00
AT1G01090.1,-0.71,2.02E-01,6.25E-01
AT1G01100.1,-0.78,1.78E-01,6.25E-01
AT1G01170.1,0.16,8.06E-01,1.00E+00
AT1G01300.1,-0.06,7.03E-01,1.00E+00
AT1G01320.1,0.27,6.28E-01,9.94E-01
AT1G01510.1,-0.99,4.89E-03,1.36E-01
AT1G01560.2,-0.54,6.30E-01,9.94E-01
AT1G01600.1,0.00,1.00E+00,1.00E+00
AT1G01610.1,-0.33,4.99E-01,8.91E-01
AT1G01620.1,0.14,3.98E-01,7.98E-01
AT1G01730.1,-2.26,5.11E-02,3.92E-01
AT1G01790.1,0.71,2.83E-02,3.08E-01
AT1G01820.1,-0.09,8.79E-01,1.00E+00
AT1G01950.3,-1.18,2.59E-01,6.25E-01
AT1G01960.1,-1.18,2.59E-01,6.25E-01
AT1G02050.1,-1.32,2.08E-01,6.25E-01
AT1G02080.1,0.00,1.00E+00,1.00E+00
AT1G02120.1,0.00,1.00E+00,1.00E+00
AT1G02140.1,-0.87,1.78E-01,6.25E-01
AT1G02145.3,0.00,1.00E+00,1.00E+00
AT1G02150.1,-2.49,6.34E-03,1.45E-01
AT1G02180.1,-0.54,6.30E-01,9.94E-01
AT1G02190.1,0.00,1.00E+00,1.00E+00
AT1G02205.3,-0.09,8.36E-01,1.00E+00
AT1G02280.1,0.47,3.37E-02,3.30E-01
AT1G02500.1,0.05,8.67E-01,1.00E+00
AT1G02520.1,0.58,5.64E-01,9.70E-01
AT1G02560.1,0.00,1.00E+00,1.00E+00
AT1G02730.1,-1.18,2.59E-01,6.25E-01
AT1G02780.1,0.30,2.89E-01,6.76E-01
AT1G02813.1,-1.34,5.98E-04,3.53E-02
AT1G02840.1,0.02,9.31E-01,1.00E+00
AT1G02870.1,-1.32,2.08E-01,6.25E-01
AT1G02890.1,-0.49,4.11E-01,8.08E-01
