chr	start	end	Cluster	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
4	272189	274438	merged_4_272189	14282.0793922362	-11.0866638200063	0.354278878018252	-31.2936065565703	5.70113692058254e-215	5.05214448482856e-213
4	6125901	6132894	merged_4_6125901	818.374337988528	-7.03853214071703	0.3706469345045	-18.9898566141563	2.06892660179483e-80	2.95124281962751e-79
3	11779620	11780546	merged_3_11779620	85.2128736600455	-9.22822313202559	1.45026359843518	-6.36313504798903	1.97676736997567e-10	3.15590032486985e-10
4	8326657	8328576	merged_4_8326657	378.838688553297	-6.75473217871997	0.489140029031459	-13.8094038062985	2.2367508280116e-43	1.36183916295596e-42
3	12212720	12213543	merged_3_12212720	29.3179217146492	-7.68748871944516	1.47070606712756	-5.22707350657745	1.72214048035508e-07	2.11958271830612e-07
1	20475499	20477917	merged_1_20475499	95.3492102699264	-5.92307062473453	0.735577724124916	-8.05227025027293	8.12722036272857e-16	1.87332936135725e-15
5	13941862	13944972	merged_5_13941862	193.369485475582	-6.95686640961402	0.731059411936821	-9.51614368958462	1.79724910300911e-21	5.31128572287161e-21
5	11572369	11573710	merged_5_11572369	38.3267609251438	-6.61869181099192	1.45160200715047	-4.55957747260529	5.12566452856228e-06	5.65352495060007e-06
2	16467046	16467471	merged_2_16467046	502.309237368208	-11.7872568072691	1.44802651628945	-8.14022165662668	3.94554894811947e-16	9.23435461121016e-16
5	5907112	5907565	merged_5_5907112	248.058366266036	-6.13694340215162	0.493244033402071	-12.4420023083159	1.54579677307552e-35	7.49888213350247e-35
4	4529638	4530106	merged_4_4529638	25.7114855516203	-7.50024821394994	1.46715005598308	-5.11212072913994	3.18562119102494e-07	3.82617591621618e-07
3	12275545	12276757	merged_3_12275545	315.463277481922	-4.10185214319014	0.26893990469406	-15.2519282992099	1.59841983313121e-52	1.20937753222524e-51
4	1846287	1847563	merged_4_1846287	78.9881265179064	-7.6681198842636	1.44362450568139	-5.31171357516147	1.08599197200698e-07	1.35938120489806e-07
2	1866410	1866780	merged_2_1866410	57.5010181833319	-8.66044837569004	1.45317763149769	-5.95966259593764	2.52759259758718e-09	3.67108139061326e-09
