chr	start	end	Cluster	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	13745977	13746510	merged_1_13745977	20.6873473257853	-6.96329552632014	1.50800465343141	-4.61755572867458	3.8828642596777e-06	4.72591700768674e-06
1	7138123	7138949	merged_1_7138123	464.741896264794	-8.00600942879231	0.72835935149724	-10.9918399651695	4.18310201547514e-28	3.98828105204255e-27
2	7883608	7884063	merged_2_7883608	104.912958050341	-9.3057024366249	1.45636777434362	-6.38966516601136	1.66249382067735e-10	4.08845182511378e-10
2	5298395	5300932	merged_2_5298395	153.760479320414	-7.40523041229706	1.03374931489754	-7.16346826602834	7.86610783264029e-13	2.74267571979798e-12
1	16556670	16559294	merged_1_16556670	1119.76564653934	-7.95377663827876	0.463216335256706	-17.1707602536748	4.39623965022804e-66	1.54982421238829e-64
1	29769927	29770450	merged_1_29769927	82.1401258486671	-8.95206826569241	1.45978926239759	-6.13243876790086	8.65420227412979e-10	1.86769089278884e-09
1	17712681	17715501	merged_1_17712681	376.142888020181	-5.98339732508474	0.416283233704269	-14.3733805271038	7.60277277690719e-47	1.42971910156432e-45
5	11042119	11043176	merged_5_11042119	19.871928261338	-6.90639440198846	1.51150174206304	-4.56922688859224	4.89526614513052e-06	5.90260516176129e-06
2	1552199	1553672	merged_2_1552199	81.1518071919808	-5.88410149610179	0.862429406692972	-6.82270508222194	8.93419511433785e-12	2.68565558525332e-11
2	5541834	5542646	merged_2_5541834	164.946261836545	-7.50836720634008	1.0323199665351	-7.27329456926162	3.5082414879618e-13	1.28183079274922e-12
1	26031380	26032380	merged_1_26031380	3820.20188893203	-9.46482174397447	0.420196685751617	-22.5247415434619	2.37541600152228e-112	2.04887548184635e-110
5	14936385	14936909	merged_5_14936385	52.4066236762547	-6.84535808720969	1.45226492636538	-4.71357392369295	2.43409362177008e-06	3.03657345274913e-06
1	16699235	16699644	merged_1_16699235	101.892410229217	-9.26137818410722	1.45767175450143	-6.35354163617919	2.10413200651964e-10	5.08275950342627e-10
5	19418963	19419114	merged_5_19418963	145.177725623217	-9.77400810876538	1.45268840242298	-6.72822065107911	1.71750342770223e-11	4.94443184138832e-11
2	3565251	3565960	merged_2_3565251	22.0807383681929	-7.05512770810466	1.50484453921945	-4.68827677825385	2.75515223137364e-06	3.41962390344514e-06
1	9235938	9237233	merged_1_9235938	102.640925640557	-6.81921845907277	1.04028519940222	-6.55514320783502	5.55885045081019e-11	1.47650189145108e-10
3	12689847	12690685	merged_3_12689847	25.9572001057233	-7.29022210707493	1.49496160381026	-4.87652799141738	1.07969373138041e-06	1.4040684990049e-06
1	16455042	16456382	merged_1_16455042	131.74719571676	-7.18549760811167	1.03600788907522	-6.93575568669243	4.04055372545397e-12	1.28034984325064e-11
3	8949323	8949559	merged_3_8949323	125.019415264021	-8.11083539619221	1.43366057255306	-5.65743074160743	1.53655789426533e-08	2.6709641322054e-08
1	11421103	11421566	merged_1_11421103	200.854465716673	-10.2418661833009	1.45008840392429	-7.06292537446953	1.6303329001539e-12	5.46457177776973e-12
4	13536885	13538377	merged_4_13536885	175.03163489245	-10.0434944129072	1.45106790372618	-6.92145032435531	4.47042903366635e-12	1.40760308682344e-11
2	1902835	1902953	merged_2_1902835	76.746947837763	-8.85570932408481	1.46202292908106	-6.05716172293616	1.38544284758053e-09	2.88088388974556e-09
1	16300748	16303435	merged_1_16300748	171.299219548681	-5.54420382708351	0.534350452989753	-10.3755948854596	3.2021174286084e-25	2.615466874453e-24
