chr	start	end	Cluster	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	13745977	13746510	merged_1_13745977	20.6873473257853	-6.87821548760229	1.48784751013858	-4.62293040162539	3.78356695472219e-06	4.68438174738715e-06
1	7138123	7138949	merged_1_7138123	470.10037637615	-5.95161944087817	0.375216365361767	-15.8618333055379	1.16444466190772e-56	1.27566342385793e-55
2	7883608	7884063	merged_2_7883608	105.502169102466	-7.79192044038428	1.38061875896539	-5.64378861998324	1.66348291460568e-08	2.85023731282853e-08
2	5298395	5300932	merged_2_5298395	153.193715292018	-8.33428408599659	1.3795594725505	-6.0412648036031	1.52910782155155e-09	2.9938857438308e-09
1	16556670	16559294	merged_1_16556670	1118.62241151016	-8.41105839198769	0.556271985826005	-15.1204062154921	1.18807455727813e-51	1.19065132626371e-50
1	29769927	29770450	merged_1_29769927	82.7293369007916	-7.43798171652771	1.38246364505672	-5.38023675568159	7.43879421861486e-08	1.16348065280995e-07
1	17712681	17715501	merged_1_17712681	375.269202140857	-6.16935197639284	0.453222703762173	-13.6121865148887	3.389492777605e-42	2.82559649205242e-41
5	11042119	11043176	merged_5_11042119	19.871928261338	-6.82163946876526	1.4928536363788	-4.56952999445573	4.88819207177515e-06	5.97368744919494e-06
2	1552199	1553672	merged_2_1552199	79.7711770090652	-8.82519429736891	1.45591135616443	-6.06162886222599	1.34749864417824e-09	2.66288948501268e-09
2	5541834	5542646	merged_2_5541834	164.379497808149	-8.43722930639598	1.37724243812829	-6.12617580813325	9.00163404630938e-10	1.82744612099719e-09
1	26031380	26032380	merged_1_26031380	3990.61462609024	-4.42375115393221	0.117527334755872	-37.6401895194955	0	0
5	14936385	14936909	merged_5_14936385	54.660476115588	-4.2097607761308	0.661434895803323	-6.36458826536205	1.95814291619606e-10	4.33067573499907e-10
1	16699235	16699644	merged_1_16699235	101.892410229217	-9.17604196005532	1.45727236194819	-6.29672407139329	3.0400171892985e-10	6.55201439199467e-10
5	19418963	19419114	merged_5_19418963	145.177725623217	-9.68877386982953	1.45064555106182	-6.67893949885809	2.40677488749932e-11	5.92895154121595e-11
2	3565251	3565960	merged_2_3565251	22.4689704679879	-5.5444053115074	1.41678905552512	-3.91335978343821	9.1020762524995e-05	9.90434504245908e-05
1	9235938	9237233	merged_1_9235938	102.715236673657	-6.76173107964286	1.03747242056482	-6.51750441323696	7.14867185104114e-11	1.66918455890219e-10
3	12689847	12690685	merged_3_12689847	25.9572001057233	-7.20496630546423	1.47872864154081	-4.87240600003308	1.10247315064759e-06	1.45816782080131e-06
1	16455042	16456382	merged_1_16455042	132.07434971156	-7.12437047576313	1.0315066869628	-6.90676130926534	4.958431681422e-12	1.31486347805366e-11
3	8949323	8949559	merged_3_8949323	124.541917199925	-9.46737745233695	1.45155698914726	-6.52222236062446	6.92732128755074e-11	1.62130395836345e-10
1	11421103	11421566	merged_1_11421103	200.854465716673	-10.1565363134006	1.44887132095252	-7.00996435399349	2.38378849849307e-12	6.55782598203344e-12
4	13536885	13538377	merged_4_13536885	178.164943300539	-5.95796708599304	0.604914414248585	-9.84927279901891	6.90416930635282e-23	3.39643127321646e-22
2	1902835	1902953	merged_2_1902835	76.746947837763	-8.7705696696146	1.4601102709784	-6.00678581881188	1.89237234069315e-09	3.666843394322e-09
1	16300748	16303435	merged_1_16300748	171.700191699823	-5.48428586760369	0.529950474544926	-10.348676208495	4.24311972638739e-25	2.24529582903885e-24
2	1353265	1353853	merged_2_1353265	322.488355979172	-7.83520722524525	0.840428076781914	-9.32287656933961	1.13228046512646e-20	5.08308280978701e-20
5	11100941	11101579	merged_5_11100941	19.9604756892422	-5.35248865980997	1.42109730451056	-3.76644768997955	0.000165586757942954	0.000177362486486128
5	15140001	15141586	merged_5_15140001	1063.50744292857	-6.439701178191	0.306535491152201	-21.0080116791226	5.54065863925551e-98	1.00964847147448e-96
4	3419224	3419926	merged_4_3419224	9.77582539792203	-5.79415851820235	1.53756427063126	-3.76840085899206	0.000164296713874247	0.000176009843844084
5	12127460	12130125	merged_5_12127460	139.604774899028	-4.56447369249465	0.4522240384658	-10.09339023193	5.90926273037877e-24	3.01356094622154e-23
4	4291327	4292563	merged_4_4291327	29.0642596560326	-7.36637127874297	1.4767942842517	-4.98808219756589	6.09816237129902e-07	8.34811393078686e-07
1	2233769	2234546	merged_1_2233769	199.656186233705	-10.1471449201071	1.45072448934765	-6.99453617459092	2.66137909918526e-12	7.29202092021578e-12
5	2186850	2187587	merged_5_2186850	62.9914325533303	-7.04664528586587	1.39416355545969	-5.05438924885854	4.31770218896008e-07	6.0359190622113e-07
