chr	start	end	Cluster	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
4	272189	274438	merged_4_272189	14299.1923244275	-9.22360474490611	0.204703494548741	-45.0583648571271	0	0
4	6125901	6132894	merged_4_6125901	814.127961149991	-8.64820704528774	0.651206723244922	-13.2802791135114	3.01269105607439e-40	2.38107494706723e-39
3	11779620	11780546	merged_3_11779620	85.5780283679577	-7.7129336767479	1.41060260423025	-5.46782889356479	4.5558134233059e-08	5.96348786632252e-08
4	8326657	8328576	merged_4_8326657	375.309790032535	-11.2900939120579	1.44476882643715	-7.8144639512327	5.51974282636253e-15	1.49590349156846e-14
3	12212720	12213543	merged_3_12212720	29.3179217146492	-7.61046557323561	1.47226875363447	-5.16920946291108	2.35086295170331e-07	2.84549208243404e-07
1	20475499	20477917	merged_1_20475499	94.4928410730235	-6.85546743965543	1.02898709639	-6.66234539160548	2.69491763661118e-11	5.28285520946598e-11
5	13941862	13944972	merged_5_13941862	192.554244636553	-7.88855449656574	1.0256289490016	-7.69143119862682	1.45498168381598e-14	3.8253511532638e-14
5	11572369	11573710	merged_5_11572369	38.3847324422524	-6.54494870095576	1.42280349721186	-4.60003697895127	4.22415947264178e-06	4.61628306926593e-06
2	16467046	16467471	merged_2_16467046	507.138526175045	-6.6915105301302	0.433579897660796	-15.4331659890865	9.79452286768309e-54	1.17770945039111e-52
5	5907112	5907565	merged_5_5907112	245.824468972703	-7.65299675119386	0.838129290284489	-9.13104557961002	6.7840871786916e-20	2.3805945190646e-19
4	4529638	4530106	merged_4_4529638	26.1661267219107	-5.98367503771301	1.42877873814502	-4.18796478276379	2.81467179233964e-05	2.94272514337699e-05
3	12275545	12276757	merged_3_12275545	302.136740490801	-6.20291400165899	0.482296329003938	-12.8612092372122	7.44035166600889e-38	5.42328280872242e-37
4	1846287	1847563	merged_4_1846287	78.5914568647246	-9.03354733697148	1.45245265456566	-6.2195124285637	4.98702121651057e-10	8.29119512968565e-10
2	1866410	1866780	merged_2_1866410	57.9556593536223	-7.14452124629901	1.41380542046261	-5.05339783176194	4.34018532224653e-07	5.11647541678593e-07
2	583094	583380	merged_2_583094	99.0952485969312	-9.36934889950865	1.47351716947265	-6.35849319819042	2.03742405179607e-10	3.56411470823925e-10
3	12549909	12552415	merged_3_12549909	89.2905508150435	-9.21799890668976	1.44947850471957	-6.35952784168617	2.02374848412805e-10	3.54067043781591e-10
1	16650145	16651913	merged_1_16650145	3323.93067241277	-10.0020261753367	0.516793211659111	-19.3540200406779	1.88546271649123e-83	4.53422242118282e-82
4	1287699	1290737	merged_4_1287699	1651.47411942654	-7.73935149309321	0.33658181737014	-22.9939678666071	5.35628692464579e-117	2.26469412519828e-115
1	21428118	21428514	merged_1_21428118	356.844836877827	-11.2172768849743	1.44474696949073	-7.76418094092168	8.21745159591285e-15	2.20438293070538e-14
3	11169932	11170315	merged_3_11169932	65.4159434157926	-8.77022280794726	1.45302693201685	-6.03582949131844	1.5814817693887e-09	2.46669211963242e-09
3	15013986	15015034	merged_3_15013986	100.835360138404	-6.94976882015525	1.03134150281929	-6.73857185147426	1.5995095705814e-11	3.22293331633424e-11
4	2136292	2137317	merged_4_2136292	132.744512329	-6.34352711959862	0.737063857223016	-8.60648240642091	7.53367060509065e-18	2.39426750893301e-17
5	14199596	14201097	merged_5_14199596	656.187763102499	-9.0748150598574	0.835958066232626	-10.8555864539407	1.87598677198249e-27	9.16598068576641e-27
4	5821298	5827466	merged_4_5821298	895.220475400965	-9.52315257594185	0.836178286995384	-11.3889020129441	4.74936579298375e-30	2.57316979186029e-29
1	19994210	19994509	merged_1_19994210	119.801461181765	-7.19535243340452	1.03022095533227	-6.984280795457	2.86318903161643e-12	6.23950474836675e-12
2	8382062	8383618	merged_2_8382062	308.33497372449	-7.98274855141585	0.839705190794549	-9.50660855610812	1.96979786273631e-21	7.45618629259286e-21
1	18905107	18906769	merged_1_18905107	7041.14652056575	-8.3770465628233	0.645334185616221	-12.9809434391333	1.56935472361288e-38	1.17298159526883e-37
4	1768568	1770683	merged_4_1768568	141.487108568065	-7.44216178933876	1.03565505248033	-7.18594649011292	6.67431823235527e-13	1.5417305711518e-12
5	13504364	13506514	merged_5_13504364	536.577229023174	-8.78376233678587	0.836574231437311	-10.4996807296999	8.66727729097959e-26	3.94710431505435e-25
1	3979790	3981055	merged_1_3979790	634.411602231611	-7.28319284520739	0.463621921908991	-15.7093366405506	1.30537819846529e-55	1.63811669561047e-54
1	11128858	11129411	merged_1_11128858	1446.05043201502	-5.01581825590166	0.150335447244428	-33.3641755676326	4.53800105688879e-244	6.05285130660074e-242
2	714886	715279	merged_2_714886	100.946255004011	-7.9528199320898	1.41282515548726	-5.62901920397008	1.81237221204175e-08	2.48579154875396e-08
1	18302779	18303594	merged_1_18302779	35.9512926876541	-5.43656312265596	1.07597658415276	-5.05267791393138	4.35658219708749e-07	5.13486931455935e-07
5	15945880	15946309	merged_5_15945880	352.72885400798	-8.17616609700219	0.837552978996305	-9.76196885694351	1.63941095531896e-22	6.46864865505236e-22
1	18380001	18381250	merged_1_18380001	384.868520623069	-7.29838094458262	0.596797132171068	-12.2292493565311	2.16934017777325e-34	1.39151825582698e-33
2	1847564	1851296	merged_2_1847564	2565.03215946214	-8.92651824375221	0.407104391650357	-21.9268532269207	1.44051546176317e-106	5.07830764149642e-105
3	14350881	14352003	merged_3_14350881	34.3810605976002	-6.38780984968725	1.42164130262949	-4.49326411512685	7.01397056331835e-06	7.56159912909032e-06
2	2108050	2109505	merged_2_2108050	60.2848894112487	-7.20454248988803	1.42892098614406	-5.0419460276313	4.60821276770245e-07	5.41173248511703e-07
4	2604507	2607619	merged_4_2604507	1716.63767958711	-7.95685633602067	0.357763431741635	-22.2405523596578	1.39231844103901e-109	5.16155185964549e-108
5	1488360	1488439	merged_5_1488360	28.2338167887139	-6.09372940541564	1.42676233894095	-4.27101924342835	1.94581615428187e-05	2.04874425489086e-05
5	12964261	12965296	merged_5_12964261	75.4607727852741	-7.53154195397311	1.41696609520048	-5.31525911557364	1.06505659132628e-07	1.33627833384207e-07
3	10746684	10749820	merged_3_10746684	10785.5891654226	-8.73273804610372	0.612728357766627	-14.2522178636129	4.34267051394101e-46	4.20864952130104e-45
5	15043066	15043317	merged_5_15043066	29.6256709338943	-7.62806035378674	1.49009213649657	-5.11918704015274	3.06855518918369e-07	3.6685425094861e-07
2	17147059	17147520	merged_2_17147059	96.407414447643	-6.28797664409729	0.878976306602781	-7.15374987569362	8.44388638381049e-13	1.93084132261824e-12
4	2621061	2621236	merged_4_2621061	7.92454239556205	-5.72622359653877	1.71472482809494	-3.33944170091746	0.000839469691618353	0.000849050881031758
1	16260236	16260506	merged_1_16260236	40.5600878902563	-6.62977647237237	1.42024582434937	-4.66804855800899	3.04074044053659e-06	3.35674913137052e-06
1	18859110	18859833	merged_1_18859110	392.562683146524	-9.91533865571401	1.40630880985053	-7.05061262950336	1.78131760184575e-12	3.95583369939587e-12
3	5867135	5868560	merged_3_5867135	1915.22676535992	-8.20153015671424	0.367462677400501	-22.319355573016	2.3971980531957e-110	8.98984011949159e-109
1	11987708	11988442	merged_1_11987708	153.667543125942	-8.55956903677348	1.40787801533069	-6.07976610442557	1.20357983797765e-09	1.9034245133547e-09
1	22100734	22106771	merged_1_22100734	838.074265230176	-7.68665430602072	0.460652076378479	-16.6864640369172	1.64425230969239e-62	2.4536720164706e-61
5	12267152	12269144	merged_5_12267152	88.1625736752689	-6.16192540854551	0.844018142069861	-7.30070255768919	2.86268966761244e-13	6.82089851189129e-13
3	11027803	11028987	merged_3_11027803	65.22270768394	-5.72481797881088	0.862240997439126	-6.63946390372727	3.14826086228072e-11	6.11962124942728e-11
1	13151778	13154249	merged_1_13151778	672.420641947855	-8.20762595131863	1.40914897354738	-5.82452679269021	5.72746495858494e-09	8.33917866691109e-09
4	4508262	4509660	merged_4_4508262	25.8076571826344	-7.42646616677825	1.47442613198782	-5.03685196949534	4.73250485408266e-07	5.55064344140345e-07
1	17015586	17015915	merged_1_17015586	123.924157605419	-5.64324843827587	0.599898674210175	-9.40700268375448	5.10486364557113e-21	1.89299873449124e-20
4	8166473	8166949	merged_4_8166473	211.519587762476	-9.02245588492904	1.4102030348948	-6.39798359645573	1.57442196370689e-10	2.79575505990114e-10
4	3680713	3682031	merged_4_3680713	53.4134263752911	-7.02851028036041	1.41639629614319	-4.96224841839735	6.96817929913648e-07	8.04446361847308e-07
1	3343528	3345623	merged_1_3343528	57.6617408991463	-5.54004972688364	0.8978945287396	-6.17004508832498	6.82705218403863e-10	1.1158211363958e-09
2	2624991	2628568	merged_2_2624991	146.604034317898	-9.93324854208432	1.44760209541399	-6.86186388756476	6.79678106925679e-12	1.4294010642725e-11
5	11592213	11593039	merged_5_11592213	31.5154434833214	-7.7155280755498	1.46176470547723	-5.27822846360958	1.30438774575236e-07	1.61974936697802e-07
Mt	67319	67405	merged_Mt_67319	6.7560570787407	-5.49355098093872	1.54631673964875	-3.55266863513784	0.000381344504350535	0.000387453682840209
2	6795224	6795487	merged_2_6795224	156.538563801655	-10.0280704265825	1.44651589563576	-6.93256842654677	4.13267534334279e-12	8.87003211548923e-12
1	13927649	13929149	merged_1_13927649	196.026635496045	-10.3526764628571	1.4457715585872	-7.16065854343799	8.0290411546569e-13	1.83857937095488e-12
4	5591584	5596227	merged_4_5591584	195.623175073283	-7.90866714704252	1.024169869258	-7.72202676961417	1.1449433903525e-14	3.03799786390088e-14
4	2975874	2976462	merged_4_2975874	14.2574442978407	-6.57118343988889	1.48671428064051	-4.41993698820049	9.87296849801966e-06	1.05619701031403e-05
2	2753070	2754447	merged_2_2753070	35.1651568803066	-7.87518711526571	1.46664658352574	-5.36951928550786	7.89467946893559e-08	1.00542733506338e-07
1	21754792	21755041	merged_1_21754792	56.7556880429726	-8.56448455947324	1.45286291421721	-5.89490204179912	3.74903721153763e-09	5.59458401878591e-09
1	7364019	7365302	merged_1_7364019	188.862011923051	-7.27042695177109	0.839184574201826	-8.66368040509588	4.56772782718997e-18	1.46861984662485e-17
3	12107380	12107766	merged_3_12107380	27.1829115061361	-7.5038169837813	1.47212185815855	-5.09727978169394	3.44568889031715e-07	4.10084839140128e-07
1	20703807	20704601	merged_1_20703807	269.972407602906	-8.37758824354771	1.02490826490518	-8.17398837575264	2.98358577497276e-16	8.71565426881861e-16
5	6348881	6349554	merged_5_6348881	195.189942306223	-10.3462002354149	1.44772224823194	-7.14653673938519	8.89945789981e-13	2.03142530535889e-12
